,Made Donation in March 2007
659,0.465371112261
276,0.216698944054
263,0.200199295104
303,0.189176272319
83,0.42632835209
500,0.60193110495
530,0.191303676663
244,0.190653319564
249,0.20040693065
728,0.160048003864
129,0.197170999089
534,0.180368711581
317,0.200142430599
401,0.200199295104
696,0.129445263442
192,0.194083301822
176,0.184160975196
571,0.386766603727
139,0.247729553286
423,0.126462111445
563,0.432546887401
56,0.285462080149
528,0.370166585796
101,0.200199295104
467,0.176986311103
382,0.171247120412
466,0.196915003285
294,0.190653319564
512,0.168980622906
659,0.465371112261
389,0.176660091375
487,0.211185815861
701,0.194919589706
419,0.117044722836
536,0.214006086755
240,0.186008460293
508,0.207007150614
515,0.190653319564
283,0.248440622539
650,0.200199295104
65,0.195947878766
228,0.198297726504
741,0.203574308166
297,0.155157171136
464,0.193059085271
63,0.194919589706
231,0.230373244455
28,0.193188330673
248,0.190653319564
357,0.19064171877
300,0.402031389884
726,0.435871396076
680,0.194665483319
520,0.29573374489
254,0.195657540534
582,0.190945739002
143,0.157743365178
98,0.426491970582
1,0.155980020096
221,0.216650260387
352,0.200199295104
64,0.198740736893
138,0.335674401936
745,0.246928175297
64,0.198740736893
688,0.193068904358
623,0.18402464269
289,0.364657323625
174,0.352444435848
690,0.200199295104
105,0.185462048267
427,0.192582867539
48,0.198916650106
14,0.200199295104
657,0.209919016632
301,0.17722505033
455,0.193321474614
579,0.223799999803
722,0.19462786731
98,0.426491970582
491,0.198916650106
303,0.189176272319
466,0.196915003285
65,0.195947878766
300,0.402031389884
9,0.194630967455
622,0.194083301822
323,0.192956649712
289,0.364657323625
568,0.115701996525
290,0.200199295104
156,0.185597426579
464,0.193059085271
426,0.189798913857
306,0.157550077374
4,0.182765454808
12,0.174786525675
187,0.188473559459
406,0.177179479558
96,0.191303676663
509,0.194919589706
733,0.184919158985
548,0.190705811586
478,0.188973121416
501,0.193730951487
127,0.314312784948
199,0.218663704311
299,0.389871235237
162,0.200199295104
235,0.192626621863
23,0.192782185407
473,0.200199295104
487,0.211185815861
683,0.546822028413
303,0.189176272319
309,0.210519170323
569,0.194969351562
34,0.400715970219
686,0.296665442253
84,0.155662722082
733,0.184919158985
537,0.58911232699
181,0.187658163732
453,0.187960839596
67,0.277369173607
161,0.143824511782
307,0.233409023263
703,0.193038390222
181,0.187658163732
246,0.192036966819
316,0.15740453385
278,0.194083301822
346,0.195102941412
545,0.200199295104
419,0.117044722836
694,0.191303676663
622,0.194083301822
663,0.182271205684
262,0.205589405584
461,0.186617054975
373,0.343238077071
233,0.200199295104
466,0.196915003285
207,0.157743365178
263,0.200199295104
16,0.194969351562
513,0.192071722628
449,0.182432286605
429,0.219257095403
701,0.194919589706
632,0.192835972557
529,0.568665369556
245,0.193640156388
344,0.201196185709
353,0.19246215705
241,0.268930220479
633,0.189561851509
624,0.194919589706
726,0.435871396076
189,0.194083301822
138,0.335674401936
402,0.190653319564
511,0.27472361218
590,0.305292295668
334,0.158617761847
447,0.178010518404
119,0.196915003285
389,0.176660091375
644,0.200199295104
423,0.126462111445
131,0.194969351562
405,0.19912453784
82,0.200199295104
643,0.300177878151
156,0.185597426579
617,0.190046130539
574,0.232955142259
272,0.180890765826
613,0.192460893316
545,0.200199295104
685,0.190653319564
570,0.183778331035
537,0.58911232699
691,0.189561851509
85,0.199134568512
483,0.192036966819
455,0.193321474614
93,0.194083301822
744,0.194919589706
33,0.192036966819
321,0.592847963839
523,0.160466745303
426,0.189798913857
196,0.193245899282
301,0.17722505033
103,0.189561851509
224,0.193387727077
454,0.193974606575
585,0.191353323463
154,0.197034103947
